timeframe,date,open,high,low,close,volume,peak_or_valley,strength,permanent_strength
1min,2023-12-22 02:45:00+00:00,44017.4,44035.2,44000.7,44030.5,0.4633662,peak,180.0,True
1min,2023-12-22 02:45:00+00:00,44017.4,44035.2,44000.7,44030.5,0.4633662,valley,360.0,True
1min,2023-12-22 02:47:00+00:00,44020.4,44023.3,44000.9,44005.1,0.13976897,valley,120.0,True
1min,2023-12-22 02:48:00+00:00,44005.2,44029.1,44005.1,44029.1,0.62844624,peak,120.0,True
1min,2023-12-22 02:52:00+00:00,43996.5,44023.8,43989.6,43989.6,2.14572139,peak,120.0,True
1min,2023-12-22 02:52:00+00:00,43996.5,44023.8,43989.6,43989.6,2.14572139,valley,180.0,True
5min,2023-12-22 02:56:00+00:00,43972.9,43973.0,43950.9,43954.9,0.41045563,valley,1020.0,True
1min,2023-12-22 02:58:00+00:00,43965.9,43970.4,43961.5,43961.5,0.13012862,peak,120.0,True
1min,2023-12-22 03:00:00+00:00,43964.3,43977.9,43955.4,43955.4,0.29186044,valley,180.0,True
5min,2023-12-22 03:06:00+00:00,44029.9,44038.1,44024.8,44034.6,2.77916074,peak,1440.0,True
1min,2023-12-22 03:07:00+00:00,44032.1,44032.1,44000.3,44004.7,2.1039715,valley,120.0,True
1min,2023-12-22 03:09:00+00:00,44007.7,44007.7,43977.7,43992.8,4.79848154,valley,120.0,True
5min,2023-12-22 03:15:00+00:00,43940.7,43940.7,43924.3,43927.6,0.62953679,valley,1020.0,True
1min,2023-12-22 03:18:00+00:00,43974.2,43982.0,43965.5,43965.5,1.1305567,peak,120.0,True
1min,2023-12-22 03:19:00+00:00,43965.4,43980.5,43965.3,43973.4,0.96840445,valley,120.0,True
5min,2023-12-22 03:21:00+00:00,43986.4,43997.4,43980.8,43980.9,1.79196655,peak,660.0,True
1min,2023-12-22 03:25:00+00:00,43969.5,43975.6,43948.1,43948.2,0.52454163,peak,120.0,True
1min,2023-12-22 03:26:00+00:00,43948.2,43948.2,43933.5,43937.6,0.49326358,valley,300.0,True
1min,2023-12-22 03:30:00+00:00,43949.5,43955.3,43939.6,43939.8,2.89227512,peak,300.0,True
1min,2023-12-22 03:34:00+00:00,43908.1,43908.1,43906.0,43906.1,0.19570837,valley,420.0,True
1min,2023-12-22 03:38:00+00:00,43942.4,43946.0,43917.5,43917.5,0.05699301,peak,420.0,True
1h,2023-12-22 03:41:00+00:00,43908.9,43908.9,43894.6,43906.1,1.013216,valley,9180.0,True
1min,2023-12-22 03:45:00+00:00,43906.1,43940.0,43906.1,43912.8,1.3455657,valley,120.0,True
1min,2023-12-22 03:46:00+00:00,43919.5,43946.5,43919.5,43938.5,0.62061691,peak,120.0,True
1min,2023-12-22 03:48:00+00:00,43942.9,43949.8,43938.7,43946.9,0.71187665,peak,120.0,True
1min,2023-12-22 03:52:00+00:00,43966.7,43971.1,43954.0,43971.0,0.85760058,valley,120.0,True
1min,2023-12-22 03:54:00+00:00,43969.0,43977.2,43968.9,43977.1,0.982522,peak,180.0,True
1min,2023-12-22 03:57:00+00:00,43959.2,43997.4,43948.2,43980.0,0.95405181,valley,420.0,True
1min,2023-12-22 03:57:00+00:00,43959.2,43997.4,43948.2,43980.0,0.95405181,peak,120.0,True
5min,2023-12-22 04:00:00+00:00,44004.7,44013.1,43980.6,43980.6,1.63293033,peak,1320.0,True
1min,2023-12-22 04:04:00+00:00,43960.1,43965.8,43960.0,43965.7,0.0812842,peak,120.0,True
1min,2023-12-22 04:07:00+00:00,43961.6,43961.6,43945.4,43945.4,0.2466575,peak,120.0,True
1min,2023-12-22 04:07:00+00:00,43961.6,43961.6,43945.4,43945.4,0.2466575,valley,240.0,True
1min,2023-12-22 04:10:00+00:00,43957.5,43964.2,43948.7,43964.1,0.84971317,peak,300.0,True
1min,2023-12-22 04:11:00+00:00,43960.1,43960.1,43944.2,43944.2,4.46474663,valley,480.0,True
1min,2023-12-22 04:17:00+00:00,43962.1,43984.8,43962.0,43976.8,0.7246974,peak,240.0,True
15min,2023-12-22 04:20:00+00:00,43931.2,43946.6,43931.1,43946.6,0.27044702,valley,2040.0,True
1min,2023-12-22 04:23:00+00:00,44041.1,44050.4,44041.1,44043.1,2.08252953,peak,120.0,True
1min,2023-12-22 04:26:00+00:00,44064.7,44076.5,44058.7,44070.7,0.42802597,peak,360.0,True
1min,2023-12-22 04:28:00+00:00,44063.8,44071.8,44055.6,44071.7,0.41854433,valley,180.0,True
1min,2023-12-22 04:29:00+00:00,44071.7,44074.9,44067.4,44068.7,0.88940126,peak,180.0,True
1min,2023-12-22 04:32:00+00:00,44047.7,44076.8,44046.3,44076.8,18.17615452,valley,180.0,True
5min,2023-12-22 04:34:00+00:00,44091.3,44091.3,44080.2,44080.3,0.40870381,peak,720.0,True
5min,2023-12-22 04:37:00+00:00,44037.0,44037.0,44020.3,44023.8,2.40288651,valley,900.0,True
1min,2023-12-22 04:38:00+00:00,44023.9,44046.5,44023.9,44033.0,0.62149928,peak,120.0,True
1min,2023-12-22 04:40:00+00:00,44033.0,44066.9,44027.6,44066.8,2.28273799,valley,120.0,True
1min,2023-12-22 04:42:00+00:00,44065.5,44085.2,44065.5,44085.1,0.52686755,peak,240.0,True
1min,2023-12-22 04:45:00+00:00,44059.8,44064.8,44050.7,44062.8,0.76291579,valley,300.0,True
1min,2023-12-22 04:48:00+00:00,44110.0,44126.3,44109.9,44126.3,1.93276807,peak,180.0,True
1min,2023-12-22 04:50:00+00:00,44116.8,44116.8,44095.7,44098.8,0.55682192,valley,180.0,True
1min,2023-12-22 04:51:00+00:00,44098.9,44138.0,44095.8,44138.0,0.66386223,peak,180.0,True
1min,2023-12-22 04:53:00+00:00,44120.8,44135.5,44120.7,44135.5,0.34714038,valley,120.0,True
5min,2023-12-22 04:54:00+00:00,44135.5,44139.2,44131.5,44131.5,1.00787494,peak,660.0,True
1min,2023-12-22 04:56:00+00:00,44118.0,44125.2,44110.9,44118.0,0.56550249,valley,180.0,True
1min,2023-12-22 04:58:00+00:00,44118.0,44119.6,44116.8,44116.8,0.25721506,peak,120.0,True
1min,2023-12-22 04:59:00+00:00,44116.8,44116.8,44100.4,44101.2,1.28496605,valley,120.0,True
1min,2023-12-22 05:00:00+00:00,44101.3,44118.9,44101.2,44105.2,1.71896191,peak,120.0,True
1min,2023-12-22 05:01:00+00:00,44105.2,44109.0,44093.1,44100.5,0.14109253,valley,360.0,True
1min,2023-12-22 05:02:00+00:00,44100.5,44118.3,44100.5,44113.7,1.02166809,peak,120.0,True
1min,2023-12-22 05:04:00+00:00,44108.7,44138.1,44108.6,44138.1,1.595653,valley,120.0,True
1min,2023-12-22 05:05:00+00:00,44138.1,44140.0,44117.8,44121.6,1.19913948,peak,420.0,True
5min,2023-12-22 05:08:00+00:00,44083.2,44099.2,44083.2,44099.2,0.09623793,valley,1320.0,True
1min,2023-12-22 05:12:00+00:00,44139.9,44141.8,44134.5,44139.2,2.26014606,peak,120.0,True
1min,2023-12-22 05:13:00+00:00,44139.3,44139.3,44132.9,44133.0,2.02827274,valley,120.0,True
5min,2023-12-22 05:14:00+00:00,44132.9,44145.0,44132.9,44143.7,3.83511492,peak,600.0,True
1min,2023-12-22 05:19:00+00:00,44113.1,44128.9,44113.0,44117.1,0.69740723,peak,120.0,True
1min,2023-12-22 05:20:00+00:00,44117.1,44117.1,44105.7,44112.9,0.40088857,valley,540.0,True
1min,2023-12-22 05:24:00+00:00,44137.6,44157.3,44137.6,44157.3,1.18562721,peak,180.0,True
5min,2023-12-22 05:28:00+00:00,44176.1,44191.0,44175.4,44190.9,4.25489239,peak,660.0,True
1min,2023-12-22 05:32:00+00:00,44154.6,44154.6,44143.3,44143.3,0.61556113,valley,480.0,True
1min,2023-12-22 05:33:00+00:00,44143.3,44168.7,44143.3,44160.2,1.57186884,peak,120.0,True
1min,2023-12-22 05:35:00+00:00,44164.6,44179.2,44164.6,44179.2,0.69477869,peak,120.0,True
1min,2023-12-22 05:37:00+00:00,44169.9,44188.3,44169.9,44173.2,3.00897527,peak,120.0,True
1min,2023-12-22 05:38:00+00:00,44173.1,44186.3,44164.9,44186.3,1.01520215,valley,120.0,True
1min,2023-12-22 05:39:00+00:00,44186.3,44202.0,44186.3,44202.0,2.33556394,peak,360.0,True
1min,2023-12-22 05:40:00+00:00,44202.0,44202.0,44155.0,44161.7,4.19981233,valley,420.0,True
15min,2023-12-22 05:46:00+00:00,44208.3,44226.1,44203.1,44203.1,3.27857871,peak,2880.0,True
1min,2023-12-22 05:48:00+00:00,44186.5,44195.0,44180.3,44195.0,2.0242688,valley,120.0,True
1min,2023-12-22 05:49:00+00:00,44194.9,44208.7,44194.9,44208.6,0.27059882,peak,180.0,True
1min,2023-12-22 05:50:00+00:00,44208.6,44208.6,44140.1,44140.1,6.31928748,valley,360.0,True
1min,2023-12-22 05:52:00+00:00,44176.0,44208.6,44176.0,44208.6,2.65854375,peak,120.0,True
1min,2023-12-22 05:57:00+00:00,44087.9,44098.8,44085.1,44098.4,0.22233226,valley,360.0,True
1min,2023-12-22 06:00:00+00:00,44135.7,44155.3,44133.1,44143.5,2.08885823,peak,300.0,True
1min,2023-12-22 06:00:00+00:00,44135.7,44155.3,44133.1,44143.5,2.08885823,valley,120.0,True
5min,2023-12-22 06:03:00+00:00,44112.8,44112.8,44078.4,44081.6,3.46274548,valley,840.0,True
1min,2023-12-22 06:06:00+00:00,44111.2,44124.5,44100.2,44124.5,0.08740466,peak,240.0,True
1min,2023-12-22 06:10:00+00:00,44100.0,44104.3,44095.9,44095.9,0.50250811,valley,360.0,True
5min,2023-12-22 06:12:00+00:00,44137.9,44138.0,44132.1,44132.5,0.80554139,peak,600.0,True
5min,2023-12-22 06:18:00+00:00,44052.0,44067.7,44033.2,44060.0,0.7833126,valley,1560.0,True
1min,2023-12-22 06:21:00+00:00,44099.4,44111.4,44094.9,44095.0,0.42624494,peak,300.0,True
1min,2023-12-22 06:23:00+00:00,44090.9,44093.8,44080.8,44093.8,1.24447144,valley,180.0,True
1min,2023-12-22 06:25:00+00:00,44094.9,44105.2,44083.4,44105.2,0.64900744,valley,120.0,True
1min,2023-12-22 06:28:00+00:00,44154.7,44174.1,44154.7,44167.5,1.50367852,peak,300.0,True
1min,2023-12-22 06:31:00+00:00,44116.8,44116.8,44098.7,44099.2,1.79135269,valley,360.0,True
1D,2023-12-22 06:34:00+00:00,44204.1,44396.5,44204.1,44387.0,107.44357344,peak,927120.0,True
1min,2023-12-22 06:38:00+00:00,44199.1,44231.7,44143.8,44187.5,7.90432604,valley,180.0,True
1min,2023-12-22 06:40:00+00:00,44205.7,44250.8,44205.7,44250.8,3.59933581,peak,180.0,True
1min,2023-12-22 06:42:00+00:00,44104.4,44147.5,44037.1,44041.8,13.29076663,valley,120.0,True
1min,2023-12-22 06:45:00+00:00,43985.9,44048.2,43951.0,44048.2,5.68015037,valley,180.0,True
1min,2023-12-22 06:46:00+00:00,44044.2,44067.0,43998.8,44062.7,0.89374633,peak,180.0,True
1min,2023-12-22 06:49:00+00:00,43942.0,43965.2,43941.0,43960.8,3.61102778,valley,180.0,True
1min,2023-12-22 06:50:00+00:00,43960.8,44018.9,43952.0,44011.5,7.71612604,peak,180.0,True
1min,2023-12-22 06:52:00+00:00,43989.1,43989.1,43936.0,43940.2,1.00949305,valley,180.0,True
1min,2023-12-22 06:54:00+00:00,43989.0,43990.3,43961.8,43971.0,1.097989,peak,180.0,True
1min,2023-12-22 06:57:00+00:00,43904.1,43910.3,43853.1,43908.9,19.15286019,valley,120.0,True
1min,2023-12-22 06:58:00+00:00,43907.0,43912.6,43883.5,43883.5,8.63001627,peak,120.0,True
1min,2023-12-22 06:59:00+00:00,43883.5,43883.5,43831.0,43881.6,40.04263134,valley,120.0,True
1min,2023-12-22 07:00:00+00:00,43881.5,43899.3,43845.0,43881.9,13.16354184,peak,120.0,True
15min,2023-12-22 07:03:00+00:00,43735.0,43829.7,43722.9,43829.6,20.86017493,valley,1980.0,True
1min,2023-12-22 07:06:00+00:00,43892.9,43918.7,43892.8,43917.4,1.42138528,peak,120.0,True
1min,2023-12-22 07:08:00+00:00,43893.6,43933.8,43882.7,43933.8,3.99814681,valley,180.0,True
1min,2023-12-22 07:10:00+00:00,43924.9,43945.7,43915.2,43926.2,3.21100947,peak,120.0,True
1min,2023-12-22 07:11:00+00:00,43920.7,43936.4,43894.1,43920.7,2.32136494,valley,180.0,True
5min,2023-12-22 07:12:00+00:00,43915.7,43964.7,43915.7,43960.1,1.46190496,peak,1020.0,True
1min,2023-12-22 07:15:00+00:00,43942.5,43950.5,43916.8,43929.8,0.79850057,peak,120.0,True
1min,2023-12-22 07:17:00+00:00,43904.4,43948.5,43899.8,43899.8,5.30015268,peak,120.0,True
1min,2023-12-22 07:19:00+00:00,43900.1,43929.4,43895.5,43895.6,5.23375366,peak,120.0,True
1min,2023-12-22 07:21:00+00:00,43870.0,43873.9,43834.1,43847.5,11.56331434,valley,120.0,True
1min,2023-12-22 07:23:00+00:00,43886.7,43894.3,43832.1,43835.2,2.62411916,peak,180.0,True
1min,2023-12-22 07:26:00+00:00,43801.9,43812.2,43781.5,43782.9,2.83184113,valley,480.0,True
1min,2023-12-22 07:29:00+00:00,43851.8,43881.1,43851.8,43860.4,7.62823254,peak,120.0,True
1min,2023-12-22 07:30:00+00:00,43860.5,43860.8,43821.6,43860.7,3.98507972,valley,120.0,True
5min,2023-12-22 07:32:00+00:00,43882.6,43895.1,43850.9,43860.4,5.69294023,peak,720.0,True
1min,2023-12-22 07:36:00+00:00,43773.9,43778.0,43721.0,43728.4,4.11291034,valley,180.0,True
1min,2023-12-22 07:38:00+00:00,43747.8,43765.8,43732.8,43745.2,2.30875435,peak,120.0,True
1min,2023-12-22 07:39:00+00:00,43745.6,43750.1,43709.5,43733.4,5.85258191,valley,420.0,True
1min,2023-12-22 07:42:00+00:00,43748.8,43776.2,43723.2,43762.2,0.4474294,peak,360.0,True
1min,2023-12-22 07:43:00+00:00,43762.1,43762.1,43715.3,43720.7,3.29181297,valley,180.0,True
1min,2023-12-22 07:45:00+00:00,43738.5,43761.5,43727.0,43742.8,1.3543804,peak,120.0,True
1min,2023-12-22 07:46:00+00:00,43739.5,43739.5,43705.6,43735.9,1.49141821,valley,120.0,True
1min,2023-12-22 07:47:00+00:00,43736.0,43757.0,43722.3,43734.4,1.84258471,peak,120.0,True
1min,2023-12-22 07:52:00+00:00,43654.9,43654.9,43610.4,43610.4,6.66666899,valley,180.0,True
15min,2023-12-22 07:58:00+00:00,43549.1,43579.2,43544.0,43575.8,0.96553405,valley,4680.0,True
1min,2023-12-22 08:00:00+00:00,43587.2,43656.0,43566.6,43656.0,8.984746,valley,120.0,True
1min,2023-12-22 08:01:00+00:00,43655.9,43699.6,43655.9,43690.2,8.04213067,peak,420.0,True
1min,2023-12-22 08:03:00+00:00,43698.3,43699.3,43698.3,43699.2,1.41152773,peak,120.0,True
1min,2023-12-22 08:06:00+00:00,43675.9,43691.0,43671.5,43691.0,1.93458683,valley,240.0,True
1min,2023-12-22 08:08:00+00:00,43688.6,43709.0,43688.5,43709.0,4.38374071,peak,240.0,True
1min,2023-12-22 08:09:00+00:00,43709.0,43709.0,43682.7,43682.8,1.78845894,valley,180.0,True
1min,2023-12-22 08:12:00+00:00,43694.3,43762.4,43694.3,43762.3,9.40214648,peak,180.0,True
1min,2023-12-22 08:15:00+00:00,43728.0,43774.3,43719.6,43738.7,7.95389084,peak,480.0,True
1min,2023-12-22 08:18:00+00:00,43685.1,43708.3,43653.8,43695.7,17.51520429,peak,120.0,True
5min,2023-12-22 08:18:00+00:00,43685.1,43708.3,43653.8,43695.7,17.51520429,valley,1080.0,True
1min,2023-12-22 08:21:00+00:00,43678.0,43680.9,43654.7,43680.8,1.82370781,valley,180.0,True
1min,2023-12-22 08:24:00+00:00,43775.5,43778.9,43759.9,43759.9,1.98602072,peak,360.0,True
1min,2023-12-22 08:27:00+00:00,43734.8,43734.8,43691.2,43710.0,5.04497453,valley,300.0,True
15min,2023-12-22 08:31:00+00:00,43788.0,43796.0,43788.0,43791.1,1.85903239,peak,3360.0,True
1min,2023-12-22 08:33:00+00:00,43754.2,43762.8,43733.9,43760.2,1.42959232,valley,120.0,True
1min,2023-12-22 08:34:00+00:00,43760.2,43777.6,43755.7,43761.4,1.57665561,peak,120.0,True
1min,2023-12-22 08:39:00+00:00,43696.7,43700.9,43664.2,43690.2,3.73400224,peak,180.0,True
1min,2023-12-22 08:39:00+00:00,43696.7,43700.9,43664.2,43690.2,3.73400224,valley,120.0,True
1min,2023-12-22 08:43:00+00:00,43672.1,43682.1,43644.6,43644.6,3.5049655,peak,180.0,True
5min,2023-12-22 08:44:00+00:00,43645.6,43645.6,43635.0,43635.0,2.78168698,valley,660.0,True
1min,2023-12-22 08:46:00+00:00,43674.4,43674.4,43635.0,43635.1,1.1003491,valley,120.0,True
5min,2023-12-22 08:48:00+00:00,43677.1,43703.6,43677.0,43695.0,1.05020317,peak,720.0,True
1min,2023-12-22 08:53:00+00:00,43653.3,43664.5,43644.1,43644.1,4.24878818,peak,180.0,True
1min,2023-12-22 08:58:00+00:00,43605.8,43621.9,43605.7,43607.2,2.25717213,peak,120.0,True
5min,2023-12-22 08:59:00+00:00,43606.1,43608.8,43600.8,43608.8,1.71435163,valley,960.0,True
1min,2023-12-22 09:01:00+00:00,43648.3,43648.3,43609.3,43609.5,6.19902448,peak,300.0,True
1min,2023-12-22 09:03:00+00:00,43605.0,43608.7,43603.0,43607.7,0.90331442,valley,120.0,True
1min,2023-12-22 09:04:00+00:00,43607.7,43633.2,43604.5,43630.5,3.33183175,peak,120.0,True
1min,2023-12-22 09:05:00+00:00,43630.5,43632.7,43601.0,43620.1,12.99687898,valley,360.0,True
15min,2023-12-22 09:08:00+00:00,43702.9,43710.6,43672.0,43678.5,2.11974233,peak,1920.0,True
1min,2023-12-22 09:09:00+00:00,43678.5,43684.6,43660.8,43682.6,3.69714972,valley,120.0,True
1min,2023-12-22 09:10:00+00:00,43682.6,43708.1,43682.1,43695.3,3.57913284,peak,120.0,True
1min,2023-12-22 09:13:00+00:00,43643.9,43685.2,43614.3,43614.3,3.52295956,peak,120.0,True
1h,2023-12-22 09:17:00+00:00,43486.3,43519.6,43458.1,43470.2,8.27260093,valley,18360.0,True
1min,2023-12-22 09:18:00+00:00,43470.2,43531.6,43465.3,43523.8,4.26076663,peak,120.0,True
1min,2023-12-22 09:22:00+00:00,43621.6,43641.5,43618.8,43622.6,3.16136506,peak,540.0,True
1min,2023-12-22 09:26:00+00:00,43522.0,43543.1,43510.1,43536.6,3.26739987,valley,360.0,True
1min,2023-12-22 09:30:00+00:00,43603.3,43625.1,43578.0,43625.1,8.65315296,peak,180.0,True
1min,2023-12-22 09:32:00+00:00,43600.9,43623.8,43571.8,43623.8,3.17060634,valley,180.0,True
1min,2023-12-22 09:34:00+00:00,43631.5,43644.4,43631.4,43640.3,1.89675565,peak,180.0,True
1min,2023-12-22 09:35:00+00:00,43640.3,43643.5,43611.3,43623.7,0.57638285,valley,180.0,True
1min,2023-12-22 09:38:00+00:00,43644.6,43647.9,43619.2,43637.7,16.51530242,peak,120.0,True
5min,2023-12-22 09:40:00+00:00,43609.3,43649.8,43559.1,43649.8,12.92786896,valley,720.0,True
1min,2023-12-22 09:44:00+00:00,43684.3,43712.0,43684.2,43706.3,6.18765731,peak,180.0,True
1min,2023-12-22 09:45:00+00:00,43706.2,43708.9,43675.8,43706.0,3.9468354,valley,120.0,True
1min,2023-12-22 09:49:00+00:00,43739.0,43744.0,43718.2,43744.0,2.23878185,valley,120.0,True
1min,2023-12-22 09:51:00+00:00,43721.1,43744.0,43712.7,43744.0,0.7155285,valley,240.0,True
1min,2023-12-22 09:53:00+00:00,43750.0,43761.0,43749.9,43750.5,3.06860697,peak,180.0,True
1min,2023-12-22 09:54:00+00:00,43746.2,43755.1,43737.4,43746.4,0.77097459,valley,120.0,True
1min,2023-12-22 09:56:00+00:00,43743.6,43764.0,43737.5,43763.9,0.62467364,valley,120.0,True
15min,2023-12-22 09:58:00+00:00,43779.0,43784.8,43754.9,43755.0,1.16719354,peak,5160.0,True
1min,2023-12-22 10:00:00+00:00,43747.6,43751.9,43737.7,43747.1,1.76038958,valley,120.0,True
5min,2023-12-22 10:05:00+00:00,43694.2,43712.1,43690.0,43712.1,0.58306018,valley,720.0,True
1min,2023-12-22 10:10:00+00:00,43749.5,43763.7,43749.5,43757.7,0.45339391,peak,120.0,True
1min,2023-12-22 10:11:00+00:00,43757.7,43762.3,43747.4,43762.3,0.38454572,valley,120.0,True
