timeframe,date,level,internal_margin,external_margin,activation_time,ttl,deactivated_at,archived_at,hit,is_overlap_of
15min,2023-08-23 00:15:00,26185.0,26072.964832856364,26297.035167143636,2023-08-23 00:15:00,2023-08-28 08:15:00,,,0,
15min,2023-08-23 13:16:00,25816.3,25860.729393135203,25771.870606864795,2023-08-23 13:16:00,2023-08-28 21:16:00,,,0,
1H,2023-08-23 19:47:00,26813.9,26633.1,26980.152262290278,2023-08-23 19:47:00,2023-09-14 03:47:00,,,0,
15min,2023-08-24 09:09:00,26580.9,26535.8576420579,26625.9423579421,2023-08-24 09:09:00,2023-08-29 17:09:00,,,0,
15min,2023-08-24 17:38:00,25867.0,25993.2,25786.933490949417,2023-08-24 17:38:00,2023-08-30 01:38:00,,,0,
15min,2023-08-24 23:48:00,26207.0,26154.680429260472,26259.319570739528,2023-08-24 23:48:00,2023-08-30 07:48:00,,,0,
15min,2023-08-25 14:16:00,26307.7,26106.4,26369.15170175597,2023-08-25 14:16:00,2023-08-30 22:16:00,,,0,
1H,2023-08-25 14:56:00,25780.2,25909.395420696816,25651.004579303186,2023-08-25 14:56:00,2023-09-15 22:56:00,,,0,
15min,2023-08-26 02:16:00,26120.2,26076.3,26155.09011014617,2023-08-26 02:16:00,2023-08-31 10:16:00,,,0,
15min,2023-08-26 12:42:00,25984.9,25999.455246130565,25970.344753869438,2023-08-26 12:42:00,2023-08-31 20:42:00,,,0,
15min,2023-08-27 01:38:00,25963.7,25980.492959569303,25946.9070404307,2023-08-27 01:38:00,2023-09-01 09:38:00,,,0,
15min,2023-08-27 14:37:00,26179.6,26159.2,26198.517877108497,2023-08-27 14:37:00,2023-09-01 22:37:00,,,0,
1H,2023-08-28 09:19:00,25865.7,25933.8,25803.16346638511,2023-08-28 09:19:00,2023-09-18 17:19:00,,,0,
15min,2023-08-28 12:26:00,26250.5,26168.2,26298.33587101175,2023-08-28 12:26:00,2023-09-02 20:26:00,,,0,
15min,2023-08-28 19:24:00,25921.0,25976.4,25868.14301360102,2023-08-28 19:24:00,2023-09-03 03:24:00,,,0,
15min,2023-08-29 01:18:00,26204.1,26128.9,26247.61980644661,2023-08-29 01:18:00,2023-09-03 09:18:00,,,0,
15min,2023-08-29 10:38:00,25923.7,25962.8,25894.731932743445,2023-08-29 10:38:00,2023-09-03 18:38:00,,,0,
1H,2023-08-29 16:27:00,28148.8,27913.84055466097,28383.75944533903,2023-08-29 16:27:00,2023-09-20 00:27:00,,,0,
15min,2023-08-30 03:25:00,27284.1,27374.80446194672,27193.39553805328,2023-08-30 03:25:00,2023-09-04 11:25:00,,,0,
15min,2023-08-30 14:50:00,27018.0,27114.376427538027,26921.623572461973,2023-08-30 14:50:00,2023-09-04 22:50:00,,,0,
15min,2023-08-31 11:42:00,27578.8,27464.0,27631.65032683971,2023-08-31 11:42:00,2023-09-05 19:42:00,,,0,
15min,2023-08-31 21:09:00,25668.2,25871.1,25523.42806946762,2023-08-31 21:09:00,2023-09-06 05:09:00,,,0,
15min,2023-09-01 12:18:00,26155.8,26084.1,26196.523299645844,2023-09-01 12:18:00,2023-09-06 20:18:00,,,0,
1H,2023-09-01 17:42:00,25334.8,25519.609635391986,25149.990364608013,2023-09-01 17:42:00,2023-09-23 01:42:00,,,0,
15min,2023-09-02 06:39:00,25864.5,25812.4,25901.558200846168,2023-09-02 06:39:00,2023-09-07 14:39:00,,,0,
15min,2023-09-02 15:41:00,25985.7,25946.7,26022.966402797567,2023-09-02 15:41:00,2023-09-07 23:41:00,,,0,
15min,2023-09-02 18:28:00,25766.1,25802.052569233685,25730.147430766312,2023-09-02 18:28:00,2023-09-08 02:28:00,,,0,
15min,2023-09-03 12:36:00,26086.8,26033.6,26116.846833871034,2023-09-03 12:36:00,2023-09-08 20:36:00,,,0,
15min,2023-09-03 16:39:00,25802.1,25841.936753031358,25762.26324696864,2023-09-03 16:39:00,2023-09-09 00:39:00,,,0,
1H,2023-09-03 20:51:00,26130.6,26045.33635042898,26215.863649571016,2023-09-03 20:51:00,2023-09-25 04:51:00,,,0,
15min,2023-09-05 03:09:00,25562.5,25630.1,25512.988783249893,2023-09-05 03:09:00,2023-09-10 11:09:00,,,0,
15min,2023-09-05 14:35:00,25627.1,25676.4,25578.564159583006,2023-09-05 14:35:00,2023-09-10 22:35:00,,,0,
15min,2023-09-05 15:18:00,25908.6,25825.4,25974.632996135613,2023-09-05 15:18:00,2023-09-10 23:18:00,,,0,
15min,2023-09-06 03:01:00,25865.4,25836.06780610659,25894.732193893415,2023-09-06 03:01:00,2023-09-11 11:01:00,,,0,
1H,2023-09-06 17:05:00,25400.0,25594.5,25281.66144718872,2023-09-06 17:05:00,2023-09-28 01:05:00,,,0,
15min,2023-09-06 17:56:00,26035.8,25858.9,26129.01464286966,2023-09-06 17:56:00,2023-09-12 01:56:00,,,0,
15min,2023-09-07 04:01:00,25848.9,25811.601210507815,25886.198789492188,2023-09-07 04:01:00,2023-09-12 12:01:00,,,0,
15min,2023-09-07 14:01:00,25615.3,25658.680893621524,25571.919106378475,2023-09-07 14:01:00,2023-09-12 22:01:00,,,0,
1H,2023-09-08 00:58:00,26446.8,26297.461639366793,26596.138360633206,2023-09-08 00:58:00,2023-09-29 08:58:00,,,0,
15min,2023-09-08 10:06:00,25645.3,25735.8,25565.447265660492,2023-09-08 10:06:00,2023-09-13 18:06:00,,,0,
15min,2023-09-08 23:13:00,25934.1,25898.977859908413,25969.222140091584,2023-09-08 23:13:00,2023-09-14 07:13:00,,,0,
15min,2023-09-09 13:41:00,25802.0,25822.0,25786.156336377226,2023-09-09 13:41:00,2023-09-14 21:41:00,,,0,
15min,2023-09-09 16:33:00,25942.9,25900.8,25966.107166929884,2023-09-09 16:33:00,2023-09-15 00:33:00,,,0,
15min,2023-09-10 04:22:00,25749.1,25783.3,25726.79200945349,2023-09-10 04:22:00,2023-09-15 12:22:00,,,0,
15min,2023-09-10 19:40:00,25566.8,25714.6,25525.102525385053,2023-09-10 19:40:00,2023-09-16 03:40:00,,,0,
15min,2023-09-10 22:33:00,26032.3,25912.0,26094.11436918845,2023-09-10 22:33:00,2023-09-16 06:33:00,,,0,
4H,2023-09-11 20:01:00,24901.7,25132.81996694482,24670.580033055183,2023-09-11 20:01:00,2023-12-06 04:01:00,,,0,
15min,2023-09-12 16:30:00,26532.0,26304.3,26648.691485905572,2023-09-12 16:30:00,2023-09-18 00:30:00,,,0,
15min,2023-09-13 00:07:00,25764.6,25845.468152471276,25683.73184752872,2023-09-13 00:07:00,2023-09-18 08:07:00,,,0,
15min,2023-09-13 16:30:00,26406.3,26311.382020578163,26501.217979421835,2023-09-13 16:30:00,2023-09-19 00:30:00,,,0,
15min,2023-09-14 01:05:00,26546.4,26469.46866188628,26623.331338113723,2023-09-14 01:05:00,2023-09-19 09:05:00,,,0,
15min,2023-09-14 18:36:00,26855.7,26697.2,26941.10083802712,2023-09-14 18:36:00,2023-09-20 02:36:00,,,0,
15min,2023-09-15 01:07:00,26452.4,26505.70149067876,26399.098509321244,2023-09-15 01:07:00,2023-09-20 09:07:00,,,0,
15min,2023-09-15 09:00:00,26690.0,26634.9,26723.436254141936,2023-09-15 09:00:00,2023-09-20 17:00:00,,,0,
15min,2023-09-15 14:48:00,26219.4,26282.817514473205,26155.982485526798,2023-09-15 14:48:00,2023-09-20 22:48:00,,,0,
1H,2023-09-15 23:07:00,26885.9,26745.145726583327,27026.654273416676,2023-09-15 23:07:00,2023-10-07 07:07:00,,,0,
15min,2023-09-16 10:05:00,26441.8,26504.4,26401.612690720685,2023-09-16 10:05:00,2023-09-21 18:05:00,,,0,
15min,2023-09-16 17:43:00,26619.7,26591.074728328447,26648.325271671554,2023-09-16 17:43:00,2023-09-22 01:43:00,,,0,
15min,2023-09-17 01:11:00,26426.0,26464.2,26394.70087824081,2023-09-17 01:11:00,2023-09-22 09:11:00,,,0,
15min,2023-09-17 11:45:00,26619.3,26599.48624153699,26639.11375846301,2023-09-17 11:45:00,2023-09-22 19:45:00,,,0,
1H,2023-09-18 00:31:00,26372.1,26467.6,26304.99114379824,2023-09-18 00:31:00,2023-10-09 08:31:00,,,0,
15min,2023-09-18 12:59:00,27408.1,27319.227220737317,27496.97277926268,2023-09-18 12:59:00,2023-09-23 20:59:00,,,0,
15min,2023-09-18 18:41:00,26630.4,26736.19129649265,26524.608703507354,2023-09-18 18:41:00,2023-09-24 02:41:00,,,0,
1H,2023-09-19 15:54:00,27484.9,27293.664618314415,27676.135381685588,2023-09-19 15:54:00,2023-10-10 23:54:00,,,0,
15min,2023-09-20 02:01:00,27391.0,27318.66926463456,27463.33073536544,2023-09-20 02:01:00,2023-09-25 10:01:00,,,0,
15min,2023-09-20 06:04:00,26940.1,27025.0,26872.78269250758,2023-09-20 06:04:00,2023-09-25 14:04:00,,,0,
15min,2023-09-20 18:34:00,27310.3,27176.4,27392.034821416022,2023-09-20 18:34:00,2023-09-26 02:34:00,,,0,
15min,2023-09-20 19:19:00,26787.8,26938.4,26686.881230812316,2023-09-20 19:19:00,2023-09-26 03:19:00,,,0,
1H,2023-09-21 14:01:00,26374.9,26530.9819422786,26218.818057721404,2023-09-21 14:01:00,2023-10-12 22:01:00,,,0,
15min,2023-09-22 00:27:00,26470.3,26527.8,26427.171019303496,2023-09-22 00:27:00,2023-09-27 08:27:00,,,0,
15min,2023-09-22 08:10:00,26745.8,26703.54874793934,26788.051252060657,2023-09-22 08:10:00,2023-09-27 16:10:00,,,0,
15min,2023-09-22 21:13:00,26482.6,26522.63147710335,26442.568522896647,2023-09-22 21:13:00,2023-09-28 05:13:00,,,0,
15min,2023-09-23 18:30:00,26633.7,26616.778876089935,26650.621123910067,2023-09-23 18:30:00,2023-09-29 02:30:00,,,0,
15min,2023-09-24 07:01:00,26548.1,26556.506982152747,26539.69301784725,2023-09-24 07:01:00,2023-09-29 15:01:00,,,0,
1H,2023-09-24 18:05:00,26738.2,26673.7,26792.906465058764,2023-09-24 18:05:00,2023-10-16 02:05:00,,,0,
1H,2023-09-25 00:23:00,26000.0,26248.8,25895.675861460277,2023-09-25 00:23:00,2023-10-16 08:23:00,,,0,
1H,2023-09-25 12:22:00,26000.0,26101.99968406079,25898.00031593921,2023-09-25 12:22:00,2023-10-16 20:22:00,,,0,
15min,2023-09-25 20:16:00,26448.3,26386.062921540666,26510.537078459332,2023-09-25 20:16:00,2023-10-01 04:16:00,,,0,
15min,2023-09-26 15:47:00,26092.3,26138.24763633605,26046.352363663947,2023-09-26 15:47:00,2023-10-01 23:47:00,,,0,
15min,2023-09-27 12:02:00,26849.0,26775.1,26912.291787001977,2023-09-27 12:02:00,2023-10-02 20:02:00,,,0,
15min,2023-09-27 18:07:00,26114.0,26189.054336871028,26038.945663128972,2023-09-27 18:07:00,2023-10-03 02:07:00,,,0,
15min,2023-09-28 00:30:00,26556.2,26499.169839214905,26613.230160785097,2023-09-28 00:30:00,2023-10-03 08:30:00,,,0,
1H,2023-09-28 16:26:00,27305.9,27059.6,27454.841203833297,2023-09-28 16:26:00,2023-10-20 00:26:00,,,0,
15min,2023-09-29 07:39:00,27243.1,27150.9,27296.23161554384,2023-09-29 07:39:00,2023-10-04 15:39:00,,,0,
15min,2023-09-29 14:09:00,26672.5,26794.8,26603.8512450905,2023-09-29 14:09:00,2023-10-04 22:09:00,,,0,
15min,2023-09-30 13:12:00,26907.5,26924.883550569753,26890.116449430247,2023-09-30 13:12:00,2023-10-05 21:12:00,,,0,
15min,2023-09-30 15:46:00,27092.0,27041.2,27124.8305100232,2023-09-30 15:46:00,2023-10-05 23:46:00,,,0,
15min,2023-10-01 10:11:00,27287.0,27253.876840039757,27320.123159960243,2023-10-01 10:11:00,2023-10-06 18:11:00,,,0,
15min,2023-10-01 20:04:00,27038.1,27103.2,27003.248658634966,2023-10-01 20:04:00,2023-10-07 04:04:00,,,0,
4H,2023-10-02 14:00:00,28574.0,28196.2,28869.339587110968,2023-10-02 14:00:00,2023-12-26 22:00:00,,,0,
15min,2023-10-02 21:55:00,27275.9,27472.4,27133.94186367377,2023-10-02 21:55:00,2023-10-08 05:55:00,,,0,
15min,2023-10-03 06:50:00,27671.7,27618.507916529143,27724.89208347086,2023-10-03 06:50:00,2023-10-08 14:50:00,,,0,
15min,2023-10-03 20:06:00,27164.7,27274.1,27086.339957120308,2023-10-03 20:06:00,2023-10-09 04:06:00,,,0,
15min,2023-10-04 10:00:00,27640.1,27594.427398644235,27685.772601355762,2023-10-04 10:00:00,2023-10-09 18:00:00,,,0,
15min,2023-10-04 14:48:00,27333.1,27394.750420108456,27271.44957989154,2023-10-04 14:48:00,2023-10-09 22:48:00,,,0,
15min,2023-10-05 00:48:00,27891.6,27812.8,27957.16514122408,2023-10-05 00:48:00,2023-10-10 08:48:00,,,0,
1H,2023-10-05 14:21:00,28116.8,27991.892862050387,28241.707137949612,2023-10-05 14:21:00,2023-10-26 22:21:00,,,0,
15min,2023-10-05 17:20:00,27355.0,27464.027819142157,27245.972180857843,2023-10-05 17:20:00,2023-10-11 01:20:00,,,0,
1H,2023-10-06 13:00:00,27176.1,27345.801040194638,27006.39895980536,2023-10-06 13:00:00,2023-10-27 21:00:00,,,0,
15min,2023-10-06 15:50:00,28039.8,27923.586808458058,28156.01319154194,2023-10-06 15:50:00,2023-10-11 23:50:00,,,0,
